,onsets,labels,midi,note,type,open string
0,0.226395,E4-B,64,E4,B,0
1,0.434286,D4-B,62,D4,B,1
2,1.082449,D5-B,74,D5,B,0
3,1.321361,C5-B,72,C5,B,0
4,1.980952,E4-B,64,E4,B,0
5,2.202449,A4-B,69,A4,B,0
6,2.433197,G4-F,67,G4,F,0
7,2.650884,F4-F,65,F4,F,0
8,2.878367,F#4-F,66,F#4,F,0
9,3.084082,G4-B,67,G4,B,0
10,3.315556,C5-F,72,C5,F,0
11,3.513469,B4-F,71,B4,F,0
12,3.75619,E4-B,64,E4,B,0
13,3.976054,D4-B,62,D4,B,1
14,4.630204,D5-B,74,D5,B,0
15,4.874014,C5-B,72,C5,B,0
16,5.543401,E4-B,64,E4,B,0
17,5.787211,F4-F,65,F4,F,0
18,5.990204,C#5-B,73,C#5,B,0
19,6.216054,D5-B,74,D5,B,0
20,6.462041,B4-B,71,B4,B,0
21,6.671565,C5-F,72,C5,F,0
22,6.902857,F4-B,65,F4,B,0
23,7.11619,G4-F,67,G4,F,0
24,7.350204,D4-B,62,D4,B,0
25,7.568435,E4-B,64,E4,B,0
26,8.193741,Bb4-B,70,Bb4,B,0
27,8.435374,A4-B,69,A4,B,1
28,9.094966,A4-B,69,A4,B,0
29,9.336599,F4-B,65,F4,B,0
30,9.745306,F4-B,65,F4,B,0
31,10.203537,E4-B,64,E4,B,0
32,10.919184,E4-B,64,E4,B,0
33,11.122721,F4-B,65,F4,B,0
34,11.341497,E4-B,64,E4,B,0
35,11.55483,D4-B,62,D4,B,0
36,11.773605,B4-B,71,B4,B,0
37,11.97932,C5-B,72,C5,B,0
38,12.199728,F4-B,65,F4,B,0
39,12.430476,E4-B,64,E4,B,0
40,12.630204,C4-B,60,C4,B,0
41,12.825578,F4-B,65,F4,B,0
42,13.053605,G4-B,67,G4,B,0
43,13.27619,A4-B,69,A4,B,1
44,13.489524,C5-B,72,C5,B,0
45,13.707755,B4-B,71,B4,B,0
46,13.90966,C5-B,72,C5,B,0
47,14.132789,B4-B,71,B4,B,0
48,14.346667,E4-B,64,E4,B,0
49,14.548571,F4-B,65,F4,B,0
50,14.767891,E4-B,64,E4,B,0
51,14.979592,D4-B,62,D4,B,1
52,15.197823,B4-B,71,B4,B,0
53,15.421497,C5-B,72,C5,B,0
54,15.617415,F4-B,65,F4,B,0
55,15.828027,E4-B,64,E4,B,0
56,16.013061,C5-B,72,C5,B,0
57,16.230204,A4-B,69,A4,B,1
58,16.441905,C#5-B,73,C#5,B,0
59,16.661224,D5-B,74,D5,B,0
60,16.873469,G4-B,67,G4,B,0
61,17.091156,C5-B,72,C5,B,0
62,17.298503,D5-B,74,D5,B,0
63,17.482449,B4-B,71,B4,B,0
64,17.707755,D4-B,62,D4,B,1
65,17.93415,G4-B,67,G4,B,0
66,18.157823,D4-B,62,D4,B,0
67,18.364082,C4-B,60,C4,B,0
68,18.561633,Bb4-B,70,Bb4,B,0
69,18.770068,A4-B,69,A4,B,0
70,18.991565,G4-B,67,G4,B,0
71,19.219592,F4-B,65,F4,B,0
72,19.425306,A4-B,69,A4,B,0
73,19.653333,F4-B,65,F4,B,0
74,19.855782,F4-B,65,F4,B,0
75,20.06585,D4-B,62,D4,B,1
76,20.269388,D4-B,62,D4,B,1
77,20.493605,E4-B,64,E4,B,0
78,20.715646,E4-B,64,E4,B,0
79,20.934422,E4-B,64,E4,B,0
80,21.163537,C5-B,72,C5,B,0
81,21.408435,E4-B,64,E4,B,0
82,22.09415,F4-F,65,F4,F,0
83,22.287347,F#4-B,66,F#4,B,0
84,22.507755,G4-F,67,G4,F,0
85,22.70966,G4-B,67,G4,B,0
86,22.905034,C5-B,72,C5,B,0
87,23.14068,E4-B,64,E4,B,0
88,23.793197,F4-F,65,F4,F,0
89,24.012517,F#4-B,66,F#4,B,0
90,24.195918,G4-F,67,G4,F,0
91,24.433197,G4-B,67,G4,B,0
92,24.641088,C4-B,60,C4,B,0
93,24.874558,C#4-B,61,C#4,B,0
94,25.326259,D4-F,62,D4,F,1
95,25.515102,E4-B,64,E4,B,0
96,25.743129,G4-B,67,G4,B,0
97,26.152925,F4-F,65,F4,F,0
98,26.383129,A4-B,69,A4,B,0
99,26.62966,C4-B,60,C4,B,0
100,27.100408,B3-F,59,B3,F,0
101,27.263673,G4-B,67,G4,B,0
102,27.512381,F4-B,65,F4,B,0
103,27.918367,E4-F,64,E4,F,0
104,29.044898,C5-B,72,C5,B,0
105,29.275646,C5-B,72,C5,B,0
106,29.494422,B4-F,71,B4,F,0
107,29.71102,B4-B,71,B4,B,0
108,30.37551,C5-B,72,C5,B,0
109,30.618231,B4-B,71,B4,B,0
110,30.731429,A4-F,69,A4,F,1
111,30.857687,G4-F,67,G4,F,0
112,30.99102,F4-F,65,F4,F,0
113,31.043265,E4-B,64,E4,B,0
114,31.274014,D4-F,62,D4,F,1
115,31.523265,D4-B,62,D4,B,1
116,32.185034,G5-B,79,G5,B,0
117,32.422857,G5-B,79,G5,B,0
118,32.517007,F5-F,77,F5,F,0
119,32.641088,E5-F,76,E5,F,1
120,32.752109,D5-F,74,D5,F,0
121,32.846259,C5-B,72,C5,B,0
122,33.077551,B4-F,71,B4,F,0
123,33.28,B4-B,71,B4,B,0
124,33.503129,B4-B,71,B4,B,0
125,33.712653,B4-B,71,B4,B,1
126,33.941224,A4-F,69,A4,F,0
127,34.154558,A4-B,69,A4,B,0
128,34.37551,A4-B,69,A4,B,0
129,34.591565,A4-B,69,A4,B,0
130,34.833741,G4-F,67,G4,F,1
131,35.051973,G4-B,67,G4,B,0
132,35.718095,D4-B,62,D4,B,0
133,35.946122,G4-B,67,G4,B,0
